role,class,name,username,password,linked_parent,admission
student,10B,Adam Hussain,student_10b_18,student1234,parent_10b_18,10B-018
parent,10B,Adam Hussain,parent_10b_18,parent1234,,10B-018
student,10B,Idris Begum,student_10b_19,student1234,parent_10b_19,10B-019
parent,10B,Idris Begum,parent_10b_19,parent1234,,10B-019
student,10B,Bilal Qureshi,student_10b_20,student1234,parent_10b_20,10B-020
parent,10B,Bilal Qureshi,parent_10b_20,parent1234,,10B-020
student,10B,Musa Hassan,student_10b_21,student1234,parent_10b_21,10B-021
parent,10B,Musa Hassan,parent_10b_21,parent1234,,10B-021
student,10B,Isa Ali,student_10b_22,student1234,parent_10b_22,10B-022
parent,10B,Isa Ali,parent_10b_22,parent1234,,10B-022
student,10B,Salman Hussain,student_10b_23,student1234,parent_10b_23,10B-023
parent,10B,Salman Hussain,parent_10b_23,parent1234,,10B-023
student,10B,Tariq Begum,student_10b_24,student1234,parent_10b_24,10B-024
parent,10B,Tariq Begum,parent_10b_24,parent1234,,10B-024
student,10B,Layla Qureshi,student_10b_25,student1234,parent_10b_25,10B-025
parent,10B,Layla Qureshi,parent_10b_25,parent1234,,10B-025
student,10B,Noor Hassan,student_10b_26,student1234,parent_10b_26,10B-026
parent,10B,Noor Hassan,parent_10b_26,parent1234,,10B-026
student,10B,Sumaya Ali,student_10b_27,student1234,parent_10b_27,10B-027
parent,10B,Sumaya Ali,parent_10b_27,parent1234,,10B-027
student,10B,Rania Hussain,student_10b_28,student1234,parent_10b_28,10B-028
parent,10B,Rania Hussain,parent_10b_28,parent1234,,10B-028
student,10B,Yasmin Begum,student_10b_29,student1234,parent_10b_29,10B-029
parent,10B,Yasmin Begum,parent_10b_29,parent1234,,10B-029
student,10B,Safiya Qureshi,student_10b_30,student1234,parent_10b_30,10B-030
parent,10B,Safiya Qureshi,parent_10b_30,parent1234,,10B-030
student,11A,Amina Hassan,student_11a_01,student1234,parent_11a_01,11A-001
parent,11A,Amina Hassan,parent_11a_01,parent1234,,11A-001
student,11A,Fatima Ali,student_11a_02,student1234,parent_11a_02,11A-002
parent,11A,Fatima Ali,parent_11a_02,parent1234,,11A-002
student,11A,Maryam Hussain,student_11a_03,student1234,parent_11a_03,11A-003
parent,11A,Maryam Hussain,parent_11a_03,parent1234,,11A-003
student,11A,Sara Begum,student_11a_04,student1234,parent_11a_04,11A-004
parent,11A,Sara Begum,parent_11a_04,parent1234,,11A-004
student,11A,Hafsa Qureshi,student_11a_05,student1234,parent_11a_05,11A-005
parent,11A,Hafsa Qureshi,parent_11a_05,parent1234,,11A-005
student,11A,Zainab Hassan,student_11a_06,student1234,parent_11a_06,11A-006
parent,11A,Zainab Hassan,parent_11a_06,parent1234,,11A-006
student,11A,Aisha Ali,student_11a_07,student1234,parent_11a_07,11A-007
parent,11A,Aisha Ali,parent_11a_07,parent1234,,11A-007
student,11A,Khadija Hussain,student_11a_08,student1234,parent_11a_08,11A-008
parent,11A,Khadija Hussain,parent_11a_08,parent1234,,11A-008
student,11A,Ahmed Begum,student_11a_09,student1234,parent_11a_09,11A-009
parent,11A,Ahmed Begum,parent_11a_09,parent1234,,11A-009
student,11A,Omar Qureshi,student_11a_10,student1234,parent_11a_10,11A-010
parent,11A,Omar Qureshi,parent_11a_10,parent1234,,11A-010
student,11A,Yusuf Hassan,student_11a_11,student1234,parent_11a_11,11A-011
parent,11A,Yusuf Hassan,parent_11a_11,parent1234,,11A-011
student,11A,Ibrahim Ali,student_11a_12,student1234,parent_11a_12,11A-012
parent,11A,Ibrahim Ali,parent_11a_12,parent1234,,11A-012
student,11A,Hamza Hussain,student_11a_13,student1234,parent_11a_13,11A-013
parent,11A,Hamza Hussain,parent_11a_13,parent1234,,11A-013
student,11A,Zaid Begum,student_11a_14,student1234,parent_11a_14,11A-014
parent,11A,Zaid Begum,parent_11a_14,parent1234,,11A-014
student,11A,Khalid Qureshi,student_11a_15,student1234,parent_11a_15,11A-015
parent,11A,Khalid Qureshi,parent_11a_15,parent1234,,11A-015
student,11A,Hassan Hassan,student_11a_16,student1234,parent_11a_16,11A-016
parent,11A,Hassan Hassan,parent_11a_16,parent1234,,11A-016
student,11A,Ali Ali,student_11a_17,student1234,parent_11a_17,11A-017
parent,11A,Ali Ali,parent_11a_17,parent1234,,11A-017
student,11A,Adam Hussain,student_11a_18,student1234,parent_11a_18,11A-018
parent,11A,Adam Hussain,parent_11a_18,parent1234,,11A-018
student,11A,Idris Begum,student_11a_19,student1234,parent_11a_19,11A-019
parent,11A,Idris Begum,parent_11a_19,parent1234,,11A-019
student,11A,Bilal Qureshi,student_11a_20,student1234,parent_11a_20,11A-020
parent,11A,Bilal Qureshi,parent_11a_20,parent1234,,11A-020
student,11A,Musa Hassan,student_11a_21,student1234,parent_11a_21,11A-021
parent,11A,Musa Hassan,parent_11a_21,parent1234,,11A-021
student,11A,Isa Ali,student_11a_22,student1234,parent_11a_22,11A-022
parent,11A,Isa Ali,parent_11a_22,parent1234,,11A-022
student,11A,Salman Hussain,student_11a_23,student1234,parent_11a_23,11A-023
parent,11A,Salman Hussain,parent_11a_23,parent1234,,11A-023
student,11A,Tariq Begum,student_11a_24,student1234,parent_11a_24,11A-024
parent,11A,Tariq Begum,parent_11a_24,parent1234,,11A-024
student,11A,Layla Qureshi,student_11a_25,student1234,parent_11a_25,11A-025
parent,11A,Layla Qureshi,parent_11a_25,parent1234,,11A-025
student,11A,Noor Hassan,student_11a_26,student1234,parent_11a_26,11A-026
parent,11A,Noor Hassan,parent_11a_26,parent1234,,11A-026
student,11A,Sumaya Ali,student_11a_27,student1234,parent_11a_27,11A-027
parent,11A,Sumaya Ali,parent_11a_27,parent1234,,11A-027
student,11A,Rania Hussain,student_11a_28,student1234,parent_11a_28,11A-028
parent,11A,Rania Hussain,parent_11a_28,parent1234,,11A-028
student,11A,Yasmin Begum,student_11a_29,student1234,parent_11a_29,11A-029
parent,11A,Yasmin Begum,parent_11a_29,parent1234,,11A-029
student,11A,Safiya Qureshi,student_11a_30,student1234,parent_11a_30,11A-030
parent,11A,Safiya Qureshi,parent_11a_30,parent1234,,11A-030
student,11B,Amina Hassan,student_11b_01,student1234,parent_11b_01,11B-001
parent,11B,Amina Hassan,parent_11b_01,parent1234,,11B-001
student,11B,Fatima Ali,student_11b_02,student1234,parent_11b_02,11B-002
parent,11B,Fatima Ali,parent_11b_02,parent1234,,11B-002
student,11B,Maryam Hussain,student_11b_03,student1234,parent_11b_03,11B-003
parent,11B,Maryam Hussain,parent_11b_03,parent1234,,11B-003
student,11B,Sara Begum,student_11b_04,student1234,parent_11b_04,11B-004
parent,11B,Sara Begum,parent_11b_04,parent1234,,11B-004
student,11B,Hafsa Qureshi,student_11b_05,student1234,parent_11b_05,11B-005
parent,11B,Hafsa Qureshi,parent_11b_05,parent1234,,11B-005
student,11B,Zainab Hassan,student_11b_06,student1234,parent_11b_06,11B-006
parent,11B,Zainab Hassan,parent_11b_06,parent1234,,11B-006
student,11B,Aisha Ali,student_11b_07,student1234,parent_11b_07,11B-007
parent,11B,Aisha Ali,parent_11b_07,parent1234,,11B-007
student,11B,Khadija Hussain,student_11b_08,student1234,parent_11b_08,11B-008
parent,11B,Khadija Hussain,parent_11b_08,parent1234,,11B-008
student,11B,Ahmed Begum,student_11b_09,student1234,parent_11b_09,11B-009
parent,11B,Ahmed Begum,parent_11b_09,parent1234,,11B-009
student,11B,Omar Qureshi,student_11b_10,student1234,parent_11b_10,11B-010
parent,11B,Omar Qureshi,parent_11b_10,parent1234,,11B-010
student,11B,Yusuf Hassan,student_11b_11,student1234,parent_11b_11,11B-011
parent,11B,Yusuf Hassan,parent_11b_11,parent1234,,11B-011
student,11B,Ibrahim Ali,student_11b_12,student1234,parent_11b_12,11B-012
parent,11B,Ibrahim Ali,parent_11b_12,parent1234,,11B-012
student,11B,Hamza Hussain,student_11b_13,student1234,parent_11b_13,11B-013
parent,11B,Hamza Hussain,parent_11b_13,parent1234,,11B-013
student,11B,Zaid Begum,student_11b_14,student1234,parent_11b_14,11B-014
parent,11B,Zaid Begum,parent_11b_14,parent1234,,11B-014
student,11B,Khalid Qureshi,student_11b_15,student1234,parent_11b_15,11B-015
parent,11B,Khalid Qureshi,parent_11b_15,parent1234,,11B-015
student,11B,Hassan Hassan,student_11b_16,student1234,parent_11b_16,11B-016
parent,11B,Hassan Hassan,parent_11b_16,parent1234,,11B-016
student,11B,Ali Ali,student_11b_17,student1234,parent_11b_17,11B-017
parent,11B,Ali Ali,parent_11b_17,parent1234,,11B-017
student,11B,Adam Hussain,student_11b_18,student1234,parent_11b_18,11B-018
parent,11B,Adam Hussain,parent_11b_18,parent1234,,11B-018
student,11B,Idris Begum,student_11b_19,student1234,parent_11b_19,11B-019
parent,11B,Idris Begum,parent_11b_19,parent1234,,11B-019
student,11B,Bilal Qureshi,student_11b_20,student1234,parent_11b_20,11B-020
parent,11B,Bilal Qureshi,parent_11b_20,parent1234,,11B-020
student,11B,Musa Hassan,student_11b_21,student1234,parent_11b_21,11B-021
parent,11B,Musa Hassan,parent_11b_21,parent1234,,11B-021
student,11B,Isa Ali,student_11b_22,student1234,parent_11b_22,11B-022
parent,11B,Isa Ali,parent_11b_22,parent1234,,11B-022
student,11B,Salman Hussain,student_11b_23,student1234,parent_11b_23,11B-023
parent,11B,Salman Hussain,parent_11b_23,parent1234,,11B-023
student,11B,Tariq Begum,student_11b_24,student1234,parent_11b_24,11B-024
parent,11B,Tariq Begum,parent_11b_24,parent1234,,11B-024
student,11B,Layla Qureshi,student_11b_25,student1234,parent_11b_25,11B-025
parent,11B,Layla Qureshi,parent_11b_25,parent1234,,11B-025
student,11B,Noor Hassan,student_11b_26,student1234,parent_11b_26,11B-026
parent,11B,Noor Hassan,parent_11b_26,parent1234,,11B-026
student,11B,Sumaya Ali,student_11b_27,student1234,parent_11b_27,11B-027
parent,11B,Sumaya Ali,parent_11b_27,parent1234,,11B-027
student,11B,Rania Hussain,student_11b_28,student1234,parent_11b_28,11B-028
parent,11B,Rania Hussain,parent_11b_28,parent1234,,11B-028
student,11B,Yasmin Begum,student_11b_29,student1234,parent_11b_29,11B-029
parent,11B,Yasmin Begum,parent_11b_29,parent1234,,11B-029
student,11B,Safiya Qureshi,student_11b_30,student1234,parent_11b_30,11B-030
parent,11B,Safiya Qureshi,parent_11b_30,parent1234,,11B-030
student,7A,Amina Hassan,student_7a_01,student1234,parent_7a_01,7A-001
parent,7A,Amina Hassan,parent_7a_01,parent1234,,7A-001
student,7A,Fatima Ali,student_7a_02,student1234,parent_7a_02,7A-002
parent,7A,Fatima Ali,parent_7a_02,parent1234,,7A-002
student,7A,Maryam Hussain,student_7a_03,student1234,parent_7a_03,7A-003
parent,7A,Maryam Hussain,parent_7a_03,parent1234,,7A-003
student,7A,Sara Begum,student_7a_04,student1234,parent_7a_04,7A-004
parent,7A,Sara Begum,parent_7a_04,parent1234,,7A-004
student,7A,Hafsa Qureshi,student_7a_05,student1234,parent_7a_05,7A-005
parent,7A,Hafsa Qureshi,parent_7a_05,parent1234,,7A-005
student,7A,Zainab Hassan,student_7a_06,student1234,parent_7a_06,7A-006
parent,7A,Zainab Hassan,parent_7a_06,parent1234,,7A-006
student,7A,Aisha Ali,student_7a_07,student1234,parent_7a_07,7A-007
parent,7A,Aisha Ali,parent_7a_07,parent1234,,7A-007
student,7A,Khadija Hussain,student_7a_08,student1234,parent_7a_08,7A-008
parent,7A,Khadija Hussain,parent_7a_08,parent1234,,7A-008
student,7A,Ahmed Begum,student_7a_09,student1234,parent_7a_09,7A-009
parent,7A,Ahmed Begum,parent_7a_09,parent1234,,7A-009
student,7A,Omar Qureshi,student_7a_10,student1234,parent_7a_10,7A-010
parent,7A,Omar Qureshi,parent_7a_10,parent1234,,7A-010
student,7A,Yusuf Hassan,student_7a_11,student1234,parent_7a_11,7A-011
parent,7A,Yusuf Hassan,parent_7a_11,parent1234,,7A-011
student,7A,Ibrahim Ali,student_7a_12,student1234,parent_7a_12,7A-012
parent,7A,Ibrahim Ali,parent_7a_12,parent1234,,7A-012
student,7A,Hamza Hussain,student_7a_13,student1234,parent_7a_13,7A-013
parent,7A,Hamza Hussain,parent_7a_13,parent1234,,7A-013
student,7A,Zaid Begum,student_7a_14,student1234,parent_7a_14,7A-014
parent,7A,Zaid Begum,parent_7a_14,parent1234,,7A-014
student,7A,Khalid Qureshi,student_7a_15,student1234,parent_7a_15,7A-015
parent,7A,Khalid Qureshi,parent_7a_15,parent1234,,7A-015
student,7A,Hassan Hassan,student_7a_16,student1234,parent_7a_16,7A-016
parent,7A,Hassan Hassan,parent_7a_16,parent1234,,7A-016
student,7A,Ali Ali,student_7a_17,student1234,parent_7a_17,7A-017
parent,7A,Ali Ali,parent_7a_17,parent1234,,7A-017
student,7A,Adam Hussain,student_7a_18,student1234,parent_7a_18,7A-018
parent,7A,Adam Hussain,parent_7a_18,parent1234,,7A-018
student,7A,Idris Begum,student_7a_19,student1234,parent_7a_19,7A-019
parent,7A,Idris Begum,parent_7a_19,parent1234,,7A-019
student,7A,Bilal Qureshi,student_7a_20,student1234,parent_7a_20,7A-020
parent,7A,Bilal Qureshi,parent_7a_20,parent1234,,7A-020
student,7A,Musa Hassan,student_7a_21,student1234,parent_7a_21,7A-021
parent,7A,Musa Hassan,parent_7a_21,parent1234,,7A-021
student,7A,Isa Ali,student_7a_22,student1234,parent_7a_22,7A-022
parent,7A,Isa Ali,parent_7a_22,parent1234,,7A-022
student,7A,Salman Hussain,student_7a_23,student1234,parent_7a_23,7A-023
parent,7A,Salman Hussain,parent_7a_23,parent1234,,7A-023
student,7A,Tariq Begum,student_7a_24,student1234,parent_7a_24,7A-024
parent,7A,Tariq Begum,parent_7a_24,parent1234,,7A-024
student,7A,Layla Qureshi,student_7a_25,student1234,parent_7a_25,7A-025
parent,7A,Layla Qureshi,parent_7a_25,parent1234,,7A-025
student,7A,Noor Hassan,student_7a_26,student1234,parent_7a_26,7A-026
parent,7A,Noor Hassan,parent_7a_26,parent1234,,7A-026
student,7A,Sumaya Ali,student_7a_27,student1234,parent_7a_27,7A-027
parent,7A,Sumaya Ali,parent_7a_27,parent1234,,7A-027
student,7A,Rania Hussain,student_7a_28,student1234,parent_7a_28,7A-028
parent,7A,Rania Hussain,parent_7a_28,parent1234,,7A-028
student,7A,Yasmin Begum,student_7a_29,student1234,parent_7a_29,7A-029
parent,7A,Yasmin Begum,parent_7a_29,parent1234,,7A-029
student,7A,Safiya Qureshi,student_7a_30,student1234,parent_7a_30,7A-030
parent,7A,Safiya Qureshi,parent_7a_30,parent1234,,7A-030
student,7B,Amina Hassan,student_7b_01,student1234,parent_7b_01,7B-001
parent,7B,Amina Hassan,parent_7b_01,parent1234,,7B-001
student,7B,Fatima Ali,student_7b_02,student1234,parent_7b_02,7B-002
parent,7B,Fatima Ali,parent_7b_02,parent1234,,7B-002
student,7B,Maryam Hussain,student_7b_03,student1234,parent_7b_03,7B-003
parent,7B,Maryam Hussain,parent_7b_03,parent1234,,7B-003
student,7B,Sara Begum,student_7b_04,student1234,parent_7b_04,7B-004
parent,7B,Sara Begum,parent_7b_04,parent1234,,7B-004
student,7B,Hafsa Qureshi,student_7b_05,student1234,parent_7b_05,7B-005
parent,7B,Hafsa Qureshi,parent_7b_05,parent1234,,7B-005
student,7B,Zainab Hassan,student_7b_06,student1234,parent_7b_06,7B-006
parent,7B,Zainab Hassan,parent_7b_06,parent1234,,7B-006
student,7B,Aisha Ali,student_7b_07,student1234,parent_7b_07,7B-007
parent,7B,Aisha Ali,parent_7b_07,parent1234,,7B-007
student,7B,Khadija Hussain,student_7b_08,student1234,parent_7b_08,7B-008
parent,7B,Khadija Hussain,parent_7b_08,parent1234,,7B-008
student,7B,Ahmed Begum,student_7b_09,student1234,parent_7b_09,7B-009
parent,7B,Ahmed Begum,parent_7b_09,parent1234,,7B-009
student,7B,Omar Qureshi,student_7b_10,student1234,parent_7b_10,7B-010
parent,7B,Omar Qureshi,parent_7b_10,parent1234,,7B-010
student,7B,Yusuf Hassan,student_7b_11,student1234,parent_7b_11,7B-011
parent,7B,Yusuf Hassan,parent_7b_11,parent1234,,7B-011
student,7B,Ibrahim Ali,student_7b_12,student1234,parent_7b_12,7B-012
parent,7B,Ibrahim Ali,parent_7b_12,parent1234,,7B-012
student,7B,Hamza Hussain,student_7b_13,student1234,parent_7b_13,7B-013
parent,7B,Hamza Hussain,parent_7b_13,parent1234,,7B-013
student,7B,Zaid Begum,student_7b_14,student1234,parent_7b_14,7B-014
parent,7B,Zaid Begum,parent_7b_14,parent1234,,7B-014
student,7B,Khalid Qureshi,student_7b_15,student1234,parent_7b_15,7B-015
parent,7B,Khalid Qureshi,parent_7b_15,parent1234,,7B-015
student,7B,Hassan Hassan,student_7b_16,student1234,parent_7b_16,7B-016
parent,7B,Hassan Hassan,parent_7b_16,parent1234,,7B-016
student,7B,Ali Ali,student_7b_17,student1234,parent_7b_17,7B-017
parent,7B,Ali Ali,parent_7b_17,parent1234,,7B-017
student,7B,Adam Hussain,student_7b_18,student1234,parent_7b_18,7B-018
parent,7B,Adam Hussain,parent_7b_18,parent1234,,7B-018
student,7B,Idris Begum,student_7b_19,student1234,parent_7b_19,7B-019
parent,7B,Idris Begum,parent_7b_19,parent1234,,7B-019
student,7B,Bilal Qureshi,student_7b_20,student1234,parent_7b_20,7B-020
parent,7B,Bilal Qureshi,parent_7b_20,parent1234,,7B-020
student,7B,Musa Hassan,student_7b_21,student1234,parent_7b_21,7B-021
parent,7B,Musa Hassan,parent_7b_21,parent1234,,7B-021
student,7B,Isa Ali,student_7b_22,student1234,parent_7b_22,7B-022
parent,7B,Isa Ali,parent_7b_22,parent1234,,7B-022
student,7B,Salman Hussain,student_7b_23,student1234,parent_7b_23,7B-023
parent,7B,Salman Hussain,parent_7b_23,parent1234,,7B-023
student,7B,Tariq Begum,student_7b_24,student1234,parent_7b_24,7B-024
parent,7B,Tariq Begum,parent_7b_24,parent1234,,7B-024
student,7B,Layla Qureshi,student_7b_25,student1234,parent_7b_25,7B-025
parent,7B,Layla Qureshi,parent_7b_25,parent1234,,7B-025
student,7B,Noor Hassan,student_7b_26,student1234,parent_7b_26,7B-026
parent,7B,Noor Hassan,parent_7b_26,parent1234,,7B-026
student,7B,Sumaya Ali,student_7b_27,student1234,parent_7b_27,7B-027
parent,7B,Sumaya Ali,parent_7b_27,parent1234,,7B-027
student,7B,Rania Hussain,student_7b_28,student1234,parent_7b_28,7B-028
parent,7B,Rania Hussain,parent_7b_28,parent1234,,7B-028
student,7B,Yasmin Begum,student_7b_29,student1234,parent_7b_29,7B-029
parent,7B,Yasmin Begum,parent_7b_29,parent1234,,7B-029
student,7B,Safiya Qureshi,student_7b_30,student1234,parent_7b_30,7B-030
parent,7B,Safiya Qureshi,parent_7b_30,parent1234,,7B-030
student,8A,Amina Hassan,student_8a_01,student1234,parent_8a_01,8A-001
parent,8A,Amina Hassan,parent_8a_01,parent1234,,8A-001
student,8A,Fatima Ali,student_8a_02,student1234,parent_8a_02,8A-002
parent,8A,Fatima Ali,parent_8a_02,parent1234,,8A-002
student,8A,Maryam Hussain,student_8a_03,student1234,parent_8a_03,8A-003
parent,8A,Maryam Hussain,parent_8a_03,parent1234,,8A-003
student,8A,Sara Begum,student_8a_04,student1234,parent_8a_04,8A-004
parent,8A,Sara Begum,parent_8a_04,parent1234,,8A-004
student,8A,Hafsa Qureshi,student_8a_05,student1234,parent_8a_05,8A-005
parent,8A,Hafsa Qureshi,parent_8a_05,parent1234,,8A-005
student,8A,Zainab Hassan,student_8a_06,student1234,parent_8a_06,8A-006
parent,8A,Zainab Hassan,parent_8a_06,parent1234,,8A-006
student,8A,Aisha Ali,student_8a_07,student1234,parent_8a_07,8A-007
parent,8A,Aisha Ali,parent_8a_07,parent1234,,8A-007
student,8A,Khadija Hussain,student_8a_08,student1234,parent_8a_08,8A-008
parent,8A,Khadija Hussain,parent_8a_08,parent1234,,8A-008
student,8A,Ahmed Begum,student_8a_09,student1234,parent_8a_09,8A-009
parent,8A,Ahmed Begum,parent_8a_09,parent1234,,8A-009
student,8A,Omar Qureshi,student_8a_10,student1234,parent_8a_10,8A-010
parent,8A,Omar Qureshi,parent_8a_10,parent1234,,8A-010
student,8A,Yusuf Hassan,student_8a_11,student1234,parent_8a_11,8A-011
parent,8A,Yusuf Hassan,parent_8a_11,parent1234,,8A-011
student,8A,Ibrahim Ali,student_8a_12,student1234,parent_8a_12,8A-012
parent,8A,Ibrahim Ali,parent_8a_12,parent1234,,8A-012
student,8A,Hamza Hussain,student_8a_13,student1234,parent_8a_13,8A-013
parent,8A,Hamza Hussain,parent_8a_13,parent1234,,8A-013
